date,change,changeOverTime,changePercent,close,high,low,open,unadjustedVolume,volume,vwap
2017-11-02,0.375,0.9692832074976141,0.036000000000000004,1042.97,1045.52,1028.66,1039.99,1334697,1334697,1038.89
2017-11-03,7.02,0.9825380164725931,0.673,1049.99,1050.66,1037.65,1042.75,1388461,1388461,1046.53
2017-11-06,-7.31,0.9687356441638901,-0.6960000000000001,1042.68,1052.59,1042.0,1049.1,914748,914748,1046.32
2017-11-07,9.71,0.987069575096517,0.931,1052.39,1053.41,1043.0,1049.65,1305229,1305229,1049.32
2017-11-08,5.9,0.9982096567136641,0.561,1058.29,1062.69,1047.05,1050.05,1214600,1214600,1055.99
2017-11-09,-10.57,0.9782519172741311,-0.999,1047.72,1050.88,1035.85,1048.0,1792071,1792071,1043.09
2017-11-10,-3.5700000000000003,0.971511223821044,-0.341,1044.15,1046.63,1041.22,1043.87,972127,972127,1043.86
2017-11-13,-2.95,0.9659411830124701,-0.28300000000000003,1041.2,1048.74,1039.26,1040.8,940721,940721,1043.58
2017-11-14,0.44,0.9667719687601901,0.042,1041.64,1042.3,1029.33,1037.72,1050566,1050566,1038.31
2017-11-15,-5.23,0.9568969472588881,-0.502,1036.41,1039.63,1030.76,1035.0,905262,905262,1036.21
2017-11-16,12.06,0.9796680293441071,1.164,1048.47,1051.76,1038.0,1038.75,1188392,1188392,1047.01
2017-11-17,-12.58,0.9559151095570381,-1.2,1035.89,1051.0,1033.73,1049.8,1335610,1335610,1040.39
2017-11-20,-1.23,0.9535926857622771,-0.11900000000000001,1034.66,1038.69,1032.67,1036.0,876321,876321,1035.21
2017-11-21,15.64,0.98312334279485,1.512,1050.3,1050.39,1039.14,1040.04,1110341,1110341,1046.98
2017-11-22,1.62,0.9861821448659991,0.154,1051.92,1055.43,1047.25,1051.16,726898,726898,1051.05
2017-11-24,4.6,0.99486763222852,0.437,1056.52,1060.07,1051.92,1054.39,825369,825369,1057.05
2017-11-27,15.49,1.024115066847098,1.466,1072.01,1073.04,1054.77,1058.57,1771491,1771491,1067.01
2017-11-28,-8.72,1.00765040384684,-0.8130000000000001,1063.29,1080.0,1054.54,1073.99,1821171,1821171,1067.08
2017-11-29,-25.91,0.9587284522027241,-2.437,1037.38,1058.77,1029.65,1056.18,2793332,2793332,1039.23
2017-11-30,-1.21,0.956443791396496,-0.117,1036.17,1044.14,1030.07,1039.94,2254590,2254590,1036.46
2017-12-01,-11.1,0.9354853327608461,-1.071,1025.07,1037.24,1016.9,1030.41,1888081,1888081,1025.63
2017-12-04,-13.2,0.9105617603292631,-1.288,1011.87,1031.34,1009.22,1027.8,1938861,1938861,1017.58
2017-12-05,7.73,0.925157155397152,0.764,1019.6,1036.68,1002.32,1010.99,1949865,1949865,1023.91
2017-12-06,13.12,0.9499296758746051,1.287,1032.72,1039.58,1015.31,1016.52,1435549,1435549,1031.66
2017-12-07,11.85,0.9723042465802301,1.147,1044.57,1048.92,1035.36,1036.07,1543285,1543285,1044.28
2017-12-08,4.8100000000000005,0.9813862453223461,0.46,1049.38,1056.42,1045.86,1051.81,1558472,1558472,1051.34
2017-12-11,2.59,0.98627655233733,0.247,1051.97,1056.0,1044.12,1051.11,1162694,1162694,1051.23
2017-12-12,-3.2,0.9802344741720981,-0.304,1048.77,1062.5,1044.87,1050.0,1694061,1694061,1053.79
2017-12-13,2.62,0.9851814256698821,0.25,1051.39,1055.48,1046.58,1052.08,1384038,1384038,1051.56
